[20:35:41] [main/INFO]: Loading Minecraft 1.18.2 with Fabric Loader 0.16.3
[20:35:41] [main/INFO]: Loading 4 mods:
	- fabricloader 0.16.3
	   \-- mixinextras 0.4.1
	- java 17
	- minecraft 1.18.2
[20:35:41] [main/INFO]: SpongePowered MIXIN Subsystem Version=0.8.7 Source=file:/workspaces/astral/servidor_minecraft/libraries/net/fabricmc/sponge-mixin/0.15.2+mixin.0.8.7/sponge-mixin-0.15.2+mixin.0.8.7.jar Service=Knot/Fabric Env=SERVER
[20:35:45] [main/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[20:35:47] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[20:35:47] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[20:35:47] [main/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[20:35:47] [main/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[20:35:47] [main/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[20:35:48] [Worker-Main-4/INFO]: Loaded 7 recipes
[20:35:49] [Worker-Main-4/INFO]: Loaded 1141 advancements
[20:35:51] [Server thread/INFO]: Starting minecraft server version 1.18.2
[20:35:51] [Server thread/INFO]: Loading properties
[20:35:51] [Server thread/INFO]: Default game type: SURVIVAL
[20:35:51] [Server thread/INFO]: Generating keypair
[20:35:52] [Server thread/INFO]: Starting Minecraft server on *:25565
[20:35:52] [Server thread/INFO]: Using epoll channel type
[20:35:52] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[20:35:52] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[20:35:52] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[20:35:52] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[20:35:52] [Server thread/INFO]: Preparing level "world"
[20:36:22] [Worker-Main-4/INFO]: Preparing spawn area: 15%
[20:36:22] [Worker-Main-4/INFO]: Preparing spawn area: 16%
[20:36:23] [Worker-Main-4/INFO]: Preparing spawn area: 16%
[20:36:23] [Worker-Main-4/INFO]: Preparing spawn area: 17%
[20:36:24] [Worker-Main-5/INFO]: Preparing spawn area: 19%
[20:36:24] [Worker-Main-6/INFO]: Preparing spawn area: 20%
[20:36:25] [Worker-Main-6/INFO]: Preparing spawn area: 21%
[20:36:26] [Worker-Main-5/INFO]: Preparing spawn area: 22%
[20:36:26] [Worker-Main-6/INFO]: Preparing spawn area: 22%
[20:36:26] [Worker-Main-5/INFO]: Preparing spawn area: 23%
[20:36:27] [Worker-Main-6/INFO]: Preparing spawn area: 24%
[20:36:27] [Worker-Main-4/INFO]: Preparing spawn area: 24%
[20:36:28] [Worker-Main-5/INFO]: Preparing spawn area: 25%
[20:36:28] [Worker-Main-6/INFO]: Preparing spawn area: 26%
[20:36:29] [Worker-Main-5/INFO]: Preparing spawn area: 28%
[20:36:29] [Worker-Main-6/INFO]: Preparing spawn area: 29%
[20:36:30] [Worker-Main-6/INFO]: Preparing spawn area: 31%
[20:36:30] [Worker-Main-6/INFO]: Preparing spawn area: 31%
[20:36:31] [Worker-Main-5/INFO]: Preparing spawn area: 32%
[20:36:31] [Worker-Main-5/INFO]: Preparing spawn area: 33%
[20:36:32] [Worker-Main-4/INFO]: Preparing spawn area: 34%
[20:36:33] [Worker-Main-6/INFO]: Preparing spawn area: 35%
[20:36:33] [Worker-Main-6/INFO]: Preparing spawn area: 37%
[20:36:33] [Worker-Main-6/INFO]: Preparing spawn area: 38%
[20:36:34] [Worker-Main-6/INFO]: Preparing spawn area: 39%
[20:36:34] [Worker-Main-4/INFO]: Preparing spawn area: 41%
[20:36:35] [Worker-Main-4/INFO]: Preparing spawn area: 42%
[20:36:35] [Worker-Main-4/INFO]: Preparing spawn area: 43%
[20:36:36] [Worker-Main-6/INFO]: Preparing spawn area: 44%
[20:36:36] [Worker-Main-5/INFO]: Preparing spawn area: 45%
[20:36:37] [Worker-Main-6/INFO]: Preparing spawn area: 46%
[20:36:37] [Worker-Main-6/INFO]: Preparing spawn area: 48%
[20:36:38] [Worker-Main-6/INFO]: Preparing spawn area: 49%
[20:36:38] [Worker-Main-4/INFO]: Preparing spawn area: 50%
[20:36:39] [Worker-Main-5/INFO]: Preparing spawn area: 52%
[20:36:39] [Worker-Main-4/INFO]: Preparing spawn area: 54%
[20:36:40] [Worker-Main-4/INFO]: Preparing spawn area: 55%
[20:36:40] [Worker-Main-5/INFO]: Preparing spawn area: 55%
[20:36:41] [Worker-Main-6/INFO]: Preparing spawn area: 56%
[20:36:41] [Worker-Main-4/INFO]: Preparing spawn area: 57%
[20:36:42] [Worker-Main-4/INFO]: Preparing spawn area: 59%
[20:36:42] [Worker-Main-5/INFO]: Preparing spawn area: 60%
[20:36:43] [Worker-Main-4/INFO]: Preparing spawn area: 61%
[20:36:43] [Worker-Main-4/INFO]: Preparing spawn area: 63%
[20:36:44] [Worker-Main-6/INFO]: Preparing spawn area: 65%
[20:36:44] [Worker-Main-6/INFO]: Preparing spawn area: 66%
[20:36:45] [Worker-Main-6/INFO]: Preparing spawn area: 68%
[20:36:45] [Worker-Main-6/INFO]: Preparing spawn area: 68%
[20:36:46] [Worker-Main-6/INFO]: Preparing spawn area: 70%
[20:36:46] [Worker-Main-6/INFO]: Preparing spawn area: 72%
[20:36:47] [Worker-Main-5/INFO]: Preparing spawn area: 72%
[20:36:47] [Worker-Main-6/INFO]: Preparing spawn area: 74%
[20:36:48] [Worker-Main-4/INFO]: Preparing spawn area: 76%
[20:36:48] [Worker-Main-6/INFO]: Preparing spawn area: 78%
[20:36:49] [Worker-Main-6/INFO]: Preparing spawn area: 79%
[20:36:49] [Worker-Main-4/INFO]: Preparing spawn area: 81%
[20:36:50] [Worker-Main-4/INFO]: Preparing spawn area: 83%
[20:36:50] [Worker-Main-5/INFO]: Preparing spawn area: 83%
[20:36:51] [Worker-Main-5/INFO]: Preparing spawn area: 84%
[20:36:51] [Worker-Main-5/INFO]: Preparing spawn area: 85%
[20:36:52] [Worker-Main-5/INFO]: Preparing spawn area: 87%
[20:36:52] [Worker-Main-6/INFO]: Preparing spawn area: 88%
[20:36:53] [Worker-Main-6/INFO]: Preparing spawn area: 90%
[20:36:53] [Worker-Main-4/INFO]: Preparing spawn area: 91%
[20:36:54] [Worker-Main-6/INFO]: Preparing spawn area: 93%
[20:36:54] [Worker-Main-5/INFO]: Preparing spawn area: 94%
[20:36:55] [Worker-Main-6/INFO]: Preparing spawn area: 96%
[20:36:56] [Worker-Main-6/INFO]: Preparing spawn area: 98%
[20:36:56] [Worker-Main-6/INFO]: Preparing spawn area: 99%
[20:36:56] [Server thread/INFO]: Time elapsed: 50047 ms
[20:36:56] [Server thread/INFO]: Done (64.004s)! For help, type "help"
